Test ID	Coverage Technique	Covers (Decision/Condition)	SRS Reference	Priority	Given (Precondition / Mock Setup)	When (Input / Act)	Then (Expected Output / Assert)	Negative?	Status	Defect ID	Notes
UT-US05-01	Decision Coverage	createRoute(): code chưa tồn tại, request hợp lệ → tạo tuyến inactive, stopCount=0	US-05 / UC-03	P1	routeRepository.existsByCode("RT-BT-01") = false; routeRepository.save(any Route{code="RT-BT-01", name="Tuyến Bình Thạnh 01", isActive=false}) = savedRoute{id=1}; routeMapper.toResponse(savedRoute, 0) = RouteResponse{id=1, code="RT-BT-01", isActive=false, stopCount=0}	routeService.createRoute(RouteCreateRequest{code="rt-bt-01", name="Tuyến Bình Thạnh 01", description="Phục vụ khu vực Bình Thạnh"})	Trả về RouteResponse với id != null; code được uppercase thành "RT-BT-01"; isActive=false; stopCount=0; routeRepository.save() được gọi 1 lần	No	Pass		Happy path — tạo tuyến mới; code readonly sau khi tạo được kiểm tra ở updateRoute()
UT-US05-02	Decision Coverage	createRoute(): code đã tồn tại → branch existsByCode=true	US-05 / UC-03	P1	routeRepository.existsByCode("RT-BT-01") = true	routeService.createRoute(RouteCreateRequest{code="RT-BT-01", name="Tuyến Bình Thạnh 01"})	Ném BusinessException; HTTP 409 CONFLICT; errorCode=ROUTE_CODE_DUPLICATE; routeRepository.save() không được gọi	Yes	Pass		Duplicate route code
UT-US05-03	Decision Coverage	getRouteById(): route tồn tại, có stops → trả detail kèm stopCount và coordinatesWarningCount	US-05 / UC-03	P1	routeRepository.findById(1L) = Optional.of(route{id=1}); routeStopRepository.findByRouteIdOrderBySequenceOrderAsc(1L) = [stop1{store has lat/lng}, stop2{store missing lat/lng}]; routeMapper.toDetailResponse(route, stops) = RouteDetailResponse{id=1, stopCount=2, coordinatesWarningCount=1}	routeService.getRouteById(1L)	Trả về RouteDetailResponse với id=1; stopCount=2; coordinatesWarningCount=1; stops có đủ storeCode, storeName, address, hasCoordinates	No	Pass		Cover response detail + tích hợp store info ở mapper level bằng mock mapper
UT-US05-04	Decision Coverage	getRouteById(): route không tồn tại → branch findById=empty	US-05 / UC-03	P1	routeRepository.findById(99L) = Optional.empty()	routeService.getRouteById(99L)	Ném BusinessException; HTTP 404 NOT_FOUND; errorCode=ROUTE_NOT_FOUND; routeStopRepository.findByRouteIdOrderBySequenceOrderAsc() không được gọi	Yes	Pass		Route ID không tồn tại
UT-US05-05	Decision Coverage	getAllRoutes(): filter keyword/isActive hợp lệ → trả page route + count stops từng route	US-05 / UC-03	P2	routeRepository.findAll(any Specification, pageable) = Page{[route1{id=1}, route2{id=2}], total=2}; routeStopRepository.countByRouteId(1L)=3; routeStopRepository.countByRouteId(2L)=0; routeMapper.toResponse(route1,3)=response1; routeMapper.toResponse(route2,0)=response2	routeService.getAllRoutes("BT", true, PageRequest.of(0,10))	Trả về ApiResponse success=true; data.size=2; pagination.page=0; pagination.totalElements=2; routeStopRepository.countByRouteId() được gọi cho từng route	No	Pass		Service-level pagination/filter composition
UT-US05-06	Decision Coverage	updateRoute(): route tồn tại → cập nhật name/description, code không đổi	US-05 / UC-03	P1	routeRepository.findById(1L)=Optional.of(route{code="RT-BT-01", name="Old"}); routeStopRepository.countByRouteId(1L)=2; routeRepository.save(route{name="New Name", description="New Desc", code="RT-BT-01"})=savedRoute; routeMapper.toResponse(savedRoute,2)=RouteResponse{name="New Name", code="RT-BT-01"}	routeService.updateRoute(1L, RouteUpdateRequest{name="New Name", description="New Desc"})	Trả về RouteResponse với name mới; code vẫn là "RT-BT-01"; routeRepository.save() được gọi 1 lần	No	Pass		PUT không nhận code nên code readonly sau khi tạo
UT-US05-07	Decision Coverage	updateRoute(): route không tồn tại → branch findById=empty	US-05 / UC-03	P1	routeRepository.findById(99L)=Optional.empty()	routeService.updateRoute(99L, RouteUpdateRequest{name="New Name"})	Ném BusinessException; HTTP 404 NOT_FOUND; errorCode=ROUTE_NOT_FOUND; routeRepository.save() không được gọi	Yes	Pass		Update route not found
UT-US05-08	Decision Coverage	updateRouteStatus(): kích hoạt route có >=2 stops → thành công	US-05 / UC-03	P1	routeRepository.findById(1L)=Optional.of(route{isActive=false}); routeStopRepository.countByRouteId(1L)=2; routeRepository.save(route{isActive=true})=savedRoute; routeMapper.toResponse(savedRoute,2)=RouteResponse{isActive=true, stopCount=2}	routeService.updateRouteStatus(1L, RouteStatusUpdateRequest{isActive=true})	Trả về RouteResponse với isActive=true; stopCount=2; routeRepository.save() được gọi 1 lần	No	Pass		Happy path — active route đủ stops
UT-US05-09	Boundary Value	updateRouteStatus(): kích hoạt route có 1 stop → bị chặn vì stopCount < 2	US-05 / UC-03	P1	routeRepository.findById(1L)=Optional.of(route{isActive=false}); routeStopRepository.countByRouteId(1L)=1	routeService.updateRouteStatus(1L, RouteStatusUpdateRequest{isActive=true})	Ném BusinessException; HTTP 400 BAD_REQUEST; errorCode=ROUTE_INSUFFICIENT_STOPS; message chứa "at least 2 stops"; routeRepository.save() không được gọi	Yes	Pass		Boundary: 1 stop là invalid
UT-US05-10	Boundary Value	updateRouteStatus(): kích hoạt route có 0 stop → bị chặn vì stopCount < 2	US-05 / UC-03	P1	routeRepository.findById(1L)=Optional.of(route{isActive=false}); routeStopRepository.countByRouteId(1L)=0	routeService.updateRouteStatus(1L, RouteStatusUpdateRequest{isActive=true})	Ném BusinessException; HTTP 400 BAD_REQUEST; errorCode=ROUTE_INSUFFICIENT_STOPS; message chứa "Current: 0"; routeRepository.save() không được gọi	Yes	Pass		Boundary: 0 stop là invalid
UT-US05-11	Decision Coverage	updateRouteStatus(): vô hiệu hoá route active → không cần kiểm tra stopCount, lưu inactive	US-05 / UC-03	P1	routeRepository.findById(1L)=Optional.of(route{isActive=true}); routeStopRepository.countByRouteId(1L)=3; routeRepository.save(route{isActive=false})=savedRoute; routeMapper.toResponse(savedRoute,3)=RouteResponse{isActive=false}	routeService.updateRouteStatus(1L, RouteStatusUpdateRequest{isActive=false})	Trả về RouteResponse với isActive=false; routeRepository.save() được gọi 1 lần; không throw exception	No	Pass		Deactivate route
UT-US05-12	Decision Coverage	addStop(): route + active store hợp lệ, store chưa có trong route → append cuối	US-05 / UC-03	P1	routeRepository.findById(1L)=Optional.of(route{id=1}); storeRepository.findById(10L)=Optional.of(store{isActive=true, code="ST-BT-001", latitude=10.77, longitude=106.70}); routeStopRepository.existsByRouteIdAndStoreId(1L,10L)=false; routeStopRepository.findMaxSequenceOrderByRouteId(1L)=2; routeStopRepository.save(RouteStop{sequenceOrder=3})=savedStop; routeMapper.toStopResponse(savedStop,false)=RouteStopResponse{sequenceOrder=3, coordinatesWarning=false}	routeService.addStop(1L, RouteStopAddRequest{storeId=10L})	Trả về RouteStopResponse với sequenceOrder=3; coordinatesWarning=false; routeStopRepository.save() được gọi với sequenceOrder=max+1	No	Pass		Happy path — append stop cuối route
UT-US05-13	Decision Coverage	addStop(): route không tồn tại → branch findRouteOrThrow fail	US-05 / UC-03	P1	routeRepository.findById(99L)=Optional.empty()	routeService.addStop(99L, RouteStopAddRequest{storeId=10L})	Ném BusinessException; HTTP 404 NOT_FOUND; errorCode=ROUTE_NOT_FOUND; storeRepository.findById() không được gọi	Yes	Pass		Route ID không tồn tại
UT-US05-14	Decision Coverage	addStop(): storeId không tồn tại → branch storeRepository.findById=empty	US-05 / UC-03	P1	routeRepository.findById(1L)=Optional.of(route{id=1}); storeRepository.findById(99999L)=Optional.empty()	routeService.addStop(1L, RouteStopAddRequest{storeId=99999L})	Ném BusinessException; HTTP 404 NOT_FOUND; errorCode=STORE_NOT_FOUND; routeStopRepository.save() không được gọi	Yes	Pass		Store ID không tồn tại
UT-US05-15	Decision Coverage	addStop(): store inactive → bị chặn theo BR-02	US-05 / UC-03	P1	routeRepository.findById(1L)=Optional.of(route{id=1}); storeRepository.findById(10L)=Optional.of(store{isActive=false, code="ST-BT-001"})	routeService.addStop(1L, RouteStopAddRequest{storeId=10L})	Ném BusinessException; HTTP 422 UNPROCESSABLE_ENTITY; errorCode=STORE_INACTIVE; routeStopRepository.existsByRouteIdAndStoreId() không được gọi; routeStopRepository.save() không được gọi	Yes	Pass		Store inactive không thể thêm vào route
UT-US05-16	Decision Coverage	addStop(): store đã có trong route → branch existsByRouteIdAndStoreId=true	US-05 / UC-03	P1	routeRepository.findById(1L)=Optional.of(route{id=1}); storeRepository.findById(10L)=Optional.of(store{isActive=true, code="ST-BT-001"}); routeStopRepository.existsByRouteIdAndStoreId(1L,10L)=true	routeService.addStop(1L, RouteStopAddRequest{storeId=10L})	Ném BusinessException; HTTP 409 CONFLICT; errorCode=ROUTE_STOP_DUPLICATE; routeStopRepository.save() không được gọi	Yes	Pass		Duplicate store trong cùng route
UT-US05-17	Condition Coverage	addStop(): active store hợp lệ nhưng thiếu toạ độ → coordinatesWarning=true	US-05 / UC-03	P1	routeRepository.findById(1L)=Optional.of(route{id=1}); storeRepository.findById(10L)=Optional.of(store{isActive=true, code="ST-BT-002", latitude=null, longitude=null}); routeStopRepository.existsByRouteIdAndStoreId(1L,10L)=false; routeStopRepository.findMaxSequenceOrderByRouteId(1L)=0; routeStopRepository.save(any)=savedStop; routeMapper.toStopResponse(savedStop,true)=RouteStopResponse{sequenceOrder=1, coordinatesWarning=true}	routeService.addStop(1L, RouteStopAddRequest{storeId=10L})	Trả về RouteStopResponse với sequenceOrder=1; coordinatesWarning=true; routeMapper.toStopResponse(savedStop, true) được gọi	No	Pass		Store thiếu lat/lng vẫn thêm được nhưng response cảnh báo ETA
UT-US05-18	Decision Coverage	reorderStops(): orderedStopIds chứa đúng toàn bộ stop IDs → sequenceOrder được tính lại 1..n	US-05 / UC-03	P1	routeRepository.findById(1L)=Optional.of(route{id=1}); routeStopRepository.findByRouteIdOrderBySequenceOrderAsc(1L)=[stop7, stop8, stop9]; request.orderedStopIds=[9,7,8]; routeStopRepository.save() trả về input; routeMapper.toStopResponse(any,false)=response	routeService.reorderStops(1L, RouteStopReorderRequest{orderedStopIds=[9L,7L,8L]})	Trả về 3 RouteStopResponse theo thứ tự [9,7,8]; stop9.sequenceOrder=1, stop7.sequenceOrder=2, stop8.sequenceOrder=3; routeStopRepository.flush() được gọi sau khi đẩy sequence tạm +10000	No	Pass		Happy path — reorder liên tục 1,2,3 và tránh unique constraint bằng sequence tạm
UT-US05-19	Decision Coverage	reorderStops(): orderedStopIds thiếu 1 stopId → invalid	US-05 / UC-03	P1	routeRepository.findById(1L)=Optional.of(route{id=1}); routeStopRepository.findByRouteIdOrderBySequenceOrderAsc(1L)=[stop7, stop8, stop9]; request.orderedStopIds=[9,7]	routeService.reorderStops(1L, RouteStopReorderRequest{orderedStopIds=[9L,7L]})	Ném BusinessException; HTTP 400 BAD_REQUEST; errorCode=ROUTE_STOP_REORDER_INVALID; routeStopRepository.save() không được gọi	Yes	Pass		orderedStopIds phải chứa đủ mọi stop của route
UT-US05-20	Decision Coverage	reorderStops(): orderedStopIds có stopId không thuộc route → invalid	US-05 / UC-03	P1	routeRepository.findById(1L)=Optional.of(route{id=1}); routeStopRepository.findByRouteIdOrderBySequenceOrderAsc(1L)=[stop7, stop8]; request.orderedStopIds=[7,8,999]	routeService.reorderStops(1L, RouteStopReorderRequest{orderedStopIds=[7L,8L,999L]})	Ném BusinessException; HTTP 400 BAD_REQUEST; errorCode=ROUTE_STOP_REORDER_INVALID; routeStopRepository.save() không được gọi	Yes	Pass		Không cho reorder stop ngoài route
UT-US05-21	Condition Coverage	reorderStops(): orderedStopIds có duplicate nhưng vẫn chứa đủ unique IDs → phải bị chặn	US-05 / UC-03	P2	routeRepository.findById(1L)=Optional.of(route{id=1}); routeStopRepository.findByRouteIdOrderBySequenceOrderAsc(1L)=[stop7, stop8]; request.orderedStopIds=[7,8,7]	routeService.reorderStops(1L, RouteStopReorderRequest{orderedStopIds=[7L,8L,7L]})	Kỳ vọng ném BusinessException; HTTP 400 BAD_REQUEST; errorCode=ROUTE_STOP_REORDER_INVALID; không tạo response duplicate	Yes	Not Run		Gap/risk cần kiểm tra: code hiện dùng Set nên case duplicate có thể lọt nếu unique set vẫn đủ ID — Not implemented in RouteServiceImplTest yet, do not mark Pass.
