Test ID	Coverage Technique	Covers (Decision/Condition)	SRS Reference	Priority	Given (Precondition / Mock Setup)	When (Input / Act)	Then (Expected Output / Assert)	Negative?	Status	Defect ID	Notes
UT-US03-01	Decision Coverage	createUser(): username chưa tồn tại, email chưa tồn tại, role hợp lệ → tạo thành công	US-03	P1	userRepository.existsByUsername("newuser") = false; userRepository.existsByEmail("new@test.com") = false; roleRepository.findByName("DISPATCHER") = Optional.of(role); userMapper.toEntity(request, roles) = user; passwordEncoder.encode("Pass@2025") = "hashed"; userRepository.save(any) = savedUser; userMapper.toResponse(savedUser) = UserResponse{id=1}	userService.createUser(UserCreateRequest{username="newuser", password="Pass@2025", fullName="New User", email="new@test.com", roles=["DISPATCHER"]})	Trả về UserResponse với id != null; userRepository.save() được gọi 1 lần; passwordEncoder.encode() được gọi 1 lần	No			Happy path — tạo user thành công
UT-US03-02	Decision Coverage	createUser(): username đã tồn tại trong DB → branch existsByUsername=true	US-03	P1	userRepository.existsByUsername("admin") = true	userService.createUser(UserCreateRequest{username="admin", ...})	Ném BusinessException; HTTP 409 CONFLICT; userRepository.save() không được gọi	Yes			Duplicate username
UT-US03-03	Decision Coverage	createUser(): email đã tồn tại trong DB → branch existsByEmail=true	US-03	P1	userRepository.existsByUsername("newuser") = false; userRepository.existsByEmail("admin@elog.vn") = true	userService.createUser(UserCreateRequest{username="newuser", email="admin@elog.vn", ...})	Ném BusinessException; HTTP 409 CONFLICT; userRepository.save() không được gọi	Yes			Duplicate email
UT-US03-04	Decision Coverage	createUser(): role không tồn tại trong DB → roleRepository trả empty	US-03	P1	userRepository.existsByUsername("newuser") = false; userRepository.existsByEmail("new@test.com") = false; roleRepository.findByName("UNKNOWN_ROLE") = Optional.empty()	userService.createUser(UserCreateRequest{username="newuser", email="new@test.com", roles=["UNKNOWN_ROLE"]})	Ném BusinessException; HTTP 400 BAD_REQUEST; userRepository.save() không được gọi	Yes			Role name không hợp lệ
UT-US03-05	Decision Coverage	getUserById(): user tồn tại → trả về UserResponse	US-03	P1	userRepository.findById(1L) = Optional.of(savedUser); userMapper.toResponse(savedUser) = UserResponse{id=1, username="admin"}	userService.getUserById(1L)	Trả về UserResponse với id=1	No			Happy path — lấy user theo ID
UT-US03-06	Decision Coverage	getUserById(): user không tồn tại → branch findById=empty	US-03	P1	userRepository.findById(99L) = Optional.empty()	userService.getUserById(99L)	Ném BusinessException; HTTP 404 NOT_FOUND	Yes			ID không tồn tại trong DB
UT-US03-07	Decision Coverage	updateUser(): email không trùng user khác → cập nhật thành công	US-03	P1	userRepository.findById(1L) = Optional.of(user{email="old@test.com"}); userRepository.existsByEmail("new@test.com") = false; userRepository.save(any) = updatedUser; userMapper.toResponse(updatedUser) = UserResponse{id=1}	userService.updateUser(1L, UserUpdateRequest{fullName="Updated Name", email="new@test.com"})	Trả về UserResponse cập nhật; userRepository.save() được gọi 1 lần	No			Happy path — cập nhật thông tin user
UT-US03-08	Condition Coverage	updateUser(): email mới đã thuộc user khác → branch email!=old AND existsByEmail=true	US-03	P1	userRepository.findById(1L) = Optional.of(user{email="old@test.com"}); userRepository.existsByEmail("taken@test.com") = true	userService.updateUser(1L, UserUpdateRequest{fullName="Test", email="taken@test.com"})	Ném BusinessException; HTTP 409 CONFLICT; userRepository.save() không được gọi	Yes			Email đã thuộc tài khoản khác
UT-US03-09	Decision Coverage	updateUserRoles(): admin cập nhật role của user khác → thành công	US-03	P1	userRepository.findById(2L) = Optional.of(user{username="driver01"}); roleRepository.findByName("DISPATCHER") = Optional.of(role); userRepository.save(any) = updatedUser; userMapper.toResponse(updatedUser) = UserResponse{id=2}	userService.updateUserRoles(2L, UserRolesUpdateRequest{roles=["DISPATCHER"]}, "admin")	Trả về UserResponse với roles cập nhật; userRepository.save() được gọi 1 lần	No			Happy path — cập nhật role user khác
UT-US03-10	Condition Coverage	updateUserRoles(): admin tự gỡ SYSTEM_ADMIN của chính mình → bị chặn	US-03	P2	userRepository.findById(1L) = Optional.of(user{username="admin"})	userService.updateUserRoles(1L, UserRolesUpdateRequest{roles=["DISPATCHER"]}, "admin")	Ném BusinessException; HTTP 403 FORBIDDEN; message="Admin cannot remove their own SYSTEM_ADMIN role"; userRepository.save() không được gọi	Yes			Edge case: admin tự hạ quyền chính mình
UT-US03-11	Decision Coverage	updateUserStatus(): admin khóa tài khoản user khác → thành công	US-03	P1	userRepository.findById(2L) = Optional.of(user{username="driver01", isActive=true}); userRepository.save(any) = updatedUser; userMapper.toResponse(updatedUser) = UserResponse{id=2, isActive=false}	userService.updateUserStatus(2L, UserStatusUpdateRequest{isActive=false}, "admin")	Trả về UserResponse với isActive=false; userRepository.save() được gọi với user.isActive=false	No			Happy path — khóa tài khoản user khác
UT-US03-12	Condition Coverage	updateUserStatus(): admin tự khóa tài khoản của chính mình → bị chặn	US-03	P2	userRepository.findById(1L) = Optional.of(user{username="admin", isActive=true})	userService.updateUserStatus(1L, UserStatusUpdateRequest{isActive=false}, "admin")	Ném BusinessException; HTTP 403 FORBIDDEN; message="Admin cannot lock their own account"; userRepository.save() không được gọi	Yes			Edge case: admin tự khóa chính mình
