Test ID	Coverage Technique	Covers (Decision/Condition)	SRS Reference	Priority	Given (Precondition / Mock Setup)	When (Input / Act)	Then (Expected Output / Assert)	Negative?	Status	Defect ID	Notes
UT-US04-01	Decision Coverage	createStore(): storeCode chưa tồn tại, lat+lng đều hợp lệ → tạo store thành công	US-04 (ELOG-44)	P1	storeRepository.existsByCode("ST-Q1-001") = false; storeMapper.toEntity(request) = savedStore; storeRepository.save(any) = savedStore; routeStopRepository.findFirstByStoreId(1L) = Optional.empty(); storeMapper.toResponse(savedStore, null) = StoreResponse{id=1, storeCode="ST-Q1-001"}	storeService.createStore(StoreCreateRequest{storeCode="ST-Q1-001", storeName="Dien May Test", address="10 Le Lai, Q.1, TP.HCM", lat=10.7756587, lng=106.7004238})	Trả về StoreResponse với id=1; storeRepository.save() được gọi 1 lần	No		 	Happy path — tạo store thành công
UT-US04-02	Decision Coverage	createStore(): storeCode đã tồn tại trong DB → branch existsByCode=true	US-04 (ELOG-44)	P1	storeRepository.existsByCode("ST-Q1-001") = true	storeService.createStore(StoreCreateRequest{storeCode="ST-Q1-001", ...})	Ném BusinessException; HTTP 409 CONFLICT; storeRepository.save() không được gọi	Yes		 	Duplicate store code
UT-US04-03	Condition Coverage	createStore() → validateCoordinates(): latitude != null AND longitude == null → branch (lat==null) != (lng==null) = true	US-04 (ELOG-44)	P1	storeRepository.existsByCode(any) = false	storeService.createStore(StoreCreateRequest{lat=10.77, lng=null, ...})	Ném BusinessException; HTTP 400 BAD_REQUEST; ErrorCode=INVALID_COORDINATES; storeRepository.save() không được gọi	Yes		 	Chỉ truyền lat, thiếu lng
UT-US04-04	Condition Coverage	createStore() → validateCoordinates(): latitude == null AND longitude != null → branch (lat==null) != (lng==null) = true	US-04 (ELOG-44)	P1	storeRepository.existsByCode(any) = false	storeService.createStore(StoreCreateRequest{lat=null, lng=106.70, ...})	Ném BusinessException; HTTP 400 BAD_REQUEST; ErrorCode=INVALID_COORDINATES; storeRepository.save() không được gọi	Yes		 	Chỉ truyền lng, thiếu lat
UT-US04-05	Condition Coverage	createStore() → validateCoordinates(): latitude == null AND longitude == null → không throw, tiếp tục lưu	US-04 (ELOG-44)	P2	storeRepository.existsByCode("ST-Q1-001") = false; storeMapper.toEntity(request) = storeNoCoords{id=2}; storeRepository.save(any) = storeNoCoords; routeStopRepository.findFirstByStoreId(2L) = Optional.empty(); storeMapper.toResponse(storeNoCoords, null) = StoreResponse{id=2, isActive=true}	storeService.createStore(StoreCreateRequest{lat=null, lng=null, ...})	Không ném exception; storeRepository.save() được gọi 1 lần	No		 	GPS toạ độ là optional, không bắt buộc
UT-US04-06	Decision Coverage	createStore(): lat và lng đều được cung cấp → store được lưu với isActive=true mặc định	US-04 (ELOG-44)	P2	storeRepository.existsByCode("ST-Q1-001") = false; storeMapper.toEntity(request) = savedStore{isActive=true}; storeRepository.save(any) = savedStore; routeStopRepository.findFirstByStoreId(1L) = Optional.empty(); storeMapper.toResponse(savedStore, null) = StoreResponse{id=1, isActive=true}	storeService.createStore(StoreCreateRequest{lat=10.7756587, lng=106.7004238, ...})	Trả về StoreResponse với isActive=true	No		 	Store mới luôn được khởi tạo với isActive=true
UT-US04-07	Decision Coverage	getStoreById(): store tồn tại → trả về StoreResponse kèm assignedRoute	US-04 (ELOG-44)	P1	storeRepository.findById(1L) = Optional.of(savedStore); routeStopRepository.findFirstByStoreId(1L) = Optional.empty(); storeMapper.toResponse(savedStore, null) = StoreResponse{id=1}	storeService.getStoreById(1L)	Trả về StoreResponse với id=1	No		 	Happy path — lấy chi tiết store theo ID
UT-US04-08	Decision Coverage	getStoreById(): store không tồn tại → branch findById=empty	US-04 (ELOG-44)	P1	storeRepository.findById(99L) = Optional.empty()	storeService.getStoreById(99L)	Ném BusinessException; HTTP 404 NOT_FOUND	Yes		 	ID không tồn tại trong DB
UT-US04-09	Decision Coverage	updateStore(): store tồn tại, coordinates hợp lệ → cập nhật address thành công	US-04 (ELOG-44)	P1	storeRepository.findById(1L) = Optional.of(savedStore); storeRepository.save(savedStore) = savedStore; routeStopRepository.findFirstByStoreId(1L) = Optional.empty(); storeMapper.toResponse(savedStore, null) = StoreResponse{id=1, address="20 Le Lai, Q.1, TP.HCM"}	storeService.updateStore(1L, StoreUpdateRequest{storeName="Dien May Test", address="20 Le Lai, Q.1, TP.HCM", lat=10.7756587, lng=106.7004238})	Trả về StoreResponse với address mới; storeRepository.save() được gọi với store.address="20 Le Lai, Q.1, TP.HCM"	No		 	Happy path — cập nhật thông tin store
UT-US04-10	Condition Coverage	updateStore(): storeCode không nằm trong StoreUpdateRequest → code của store không thay đổi sau khi save	US-04 (ELOG-44)	P1	storeRepository.findById(1L) = Optional.of(savedStore{code="ST-Q1-001"}); storeRepository.save(savedStore) = savedStore; routeStopRepository.findFirstByStoreId(1L) = Optional.empty(); storeMapper.toResponse(savedStore, null) = StoreResponse{storeCode="ST-Q1-001"}	storeService.updateStore(1L, StoreUpdateRequest{storeName="Ten Moi", address="Dia Chi Moi 123"})	storeRepository.save() được gọi với store.code="ST-Q1-001" (không đổi)	No		 	Business rule: storeCode là định danh bất biến, không được thay đổi sau khi tạo
