Test ID	Coverage Technique	Covers (Decision/Condition)	SRS Reference	Priority	Given (Precondition / Mock Setup)	When (Input / Act)	Then (Expected Output / Assert)	Negative?	Status	Defect ID	Notes
UT-US06-01	Decision Coverage	createVehicle(): request hợp lệ, plateNumber chưa tồn tại → tạo xe active	US-06	P1	vehicleMapper.normalizePlate("51a-12345")="51A-12345"; vehicleRepository.existsByPlateNumber("51A-12345")=false; vehicleMapper.toEntity(request)=Vehicle{plateNumber="51A-12345", isActive=true}; vehicleRepository.save(vehicle)=savedVehicle{id=1}; vehicleMapper.toResponse(savedVehicle)=VehicleResponse{id=1, isActive=true}	vehicleService.createVehicle(VehicleCreateRequest{plateNumber="51a-12345", vehicleType="Xe tai nho", maxWeightKg=1490.00, maxVolumeM3=8.500})	Trả về VehicleResponse với id=1, plateNumber="51A-12345", isActive=true; vehicleRepository.save() được gọi với vehicle active	No	Pass		Maps TC-01 — create vehicle happy path
UT-US06-02	Decision Coverage	createVehicle(): plateNumber đã tồn tại sau khi normalize → chặn tạo xe trùng biển số	US-06	P1	vehicleMapper.normalizePlate("51A-12345")="51A-12345"; vehicleRepository.existsByPlateNumber("51A-12345")=true	vehicleService.createVehicle(VehicleCreateRequest{plateNumber="51A-12345", vehicleType="Xe tai nho", maxWeightKg=1490.00, maxVolumeM3=8.500})	Ném BusinessException; HTTP 409 CONFLICT; errorCode=VEHICLE_PLATE_DUPLICATE; vehicleRepository.save() không được gọi	Yes	Pass		Maps TC-02 — duplicate plate validation
UT-US06-03	Decision Coverage	getVehicleById(): vehicle tồn tại → trả response detail	US-06	P2	vehicleRepository.findById(1L)=Optional.of(vehicle{id=1, plateNumber="51A-12345", isActive=true}); vehicleMapper.toResponse(vehicle)=VehicleResponse{id=1, plateNumber="51A-12345"}	vehicleService.getVehicleById(1L)	Trả về VehicleResponse với id=1, plateNumber="51A-12345"	No	Pass		Cover read/detail branch
UT-US06-04	Decision Coverage	getVehicleById(): vehicle không tồn tại → 404	US-06	P1	vehicleRepository.findById(99L)=Optional.empty()	vehicleService.getVehicleById(99L)	Ném BusinessException; HTTP 404 NOT_FOUND; errorCode=VEHICLE_NOT_FOUND; vehicleMapper.toResponse() không được gọi	Yes	Pass		Not found branch
UT-US06-05	Decision Coverage	getAllVehicles(): minWeightKg + minVolumeM3 hợp lệ → compose Specification và trả pagination	US-06	P1	vehicleRepository.findAll(any Specification, PageRequest.of(0,20))=Page{[vehicle{id=2, maxWeightKg=3490.00, maxVolumeM3=16.000}], total=1}; vehicleMapper.toListItem(vehicle)=VehicleListItemResponse{id=2}	vehicleService.getAllVehicles(keyword=null, isActive=null, minWeightKg=3000, minVolumeM3=15, pageable=PageRequest.of(0,20))	Trả về ApiResponse success=true; data chứa đúng VehicleListItemResponse; pagination.totalElements=1; Specification truyền vào repository khác null	No	Pass		Maps TC-14/TC-15/TC-16 ở service level — AND semantics cần xác nhận thêm ở Integration Test với DB thật
UT-US06-06	Decision Coverage	getAllVehicles(): dual filter không có xe phù hợp → trả empty page	US-06	P1	vehicleRepository.findAll(any Specification, PageRequest.of(0,20))=Page{[], total=0}	vehicleService.getAllVehicles(keyword=null, isActive=null, minWeightKg=99999, minVolumeM3=999, pageable=PageRequest.of(0,20))	Trả về data rỗng; pagination.totalElements=0; vehicleMapper.toListItem() không được gọi	No	Pass		Maps TC-17 — no matching vehicle
UT-US06-07	Decision Coverage	getFleetCapacity(): có 3 xe active → tổng capacity lấy từ repository aggregates	US-06	P1	vehicleRepository.countByIsActiveTrue()=3; vehicleRepository.sumActiveMaxWeightKg()=9970.00; vehicleRepository.sumActiveMaxVolumeM3()=49.500	vehicleService.getFleetCapacity()	Trả về activeVehicleCount=3; totalMaxWeightKg=9970.00; totalMaxVolumeM3=49.500	No	Pass		Maps TC-12 — fleet capacity aggregate happy path
UT-US06-08	Condition Coverage	getFleetCapacity(): không có xe active, aggregate SUM trả null → convert về 0	US-06	P1	vehicleRepository.countByIsActiveTrue()=0; vehicleRepository.sumActiveMaxWeightKg()=null; vehicleRepository.sumActiveMaxVolumeM3()=null	vehicleService.getFleetCapacity()	Trả về activeVehicleCount=0; totalMaxWeightKg=0; totalMaxVolumeM3=0	No	Pass		Edge case cho zeroIfNull(); hỗ trợ tính đúng endpoint fleet-capacity
UT-US06-09	Decision Coverage	updateVehicle(): cập nhật vehicleType/capacity nhưng plateNumber bất biến	US-06	P1	vehicleRepository.findById(1L)=Optional.of(vehicle{plateNumber="51A-12345", vehicleType="Xe tai nho", maxWeightKg=1490.00, maxVolumeM3=8.500}); vehicleRepository.save(existing)=existing; vehicleMapper.toResponse(existing)=VehicleResponse{plateNumber="51A-12345", vehicleType="Xe tai nho updated", maxWeightKg=1500.00, maxVolumeM3=9.000}	vehicleService.updateVehicle(1L, VehicleUpdateRequest{vehicleType="Xe tai nho updated", maxWeightKg=1500.00, maxVolumeM3=9.000})	Trả về VehicleResponse với plateNumber vẫn là "51A-12345"; repository.save() nhận vehicle đã đổi type/capacity nhưng giữ nguyên plateNumber	No	Pass		Maps TC-05/TC-06 — plateNumber readonly/immutable ở service level
UT-US06-10	Decision Coverage	updateVehicle(): vehicle không tồn tại → 404	US-06	P1	vehicleRepository.findById(99L)=Optional.empty()	vehicleService.updateVehicle(99L, VehicleUpdateRequest{vehicleType="Xe tai nho updated", maxWeightKg=1500.00, maxVolumeM3=9.000})	Ném BusinessException; HTTP 404 NOT_FOUND; errorCode=VEHICLE_NOT_FOUND; vehicleRepository.save() không được gọi	Yes	Pass		Update not found branch
