Test ID	Coverage Technique	Covers (Decision/Condition)	SRS Reference	Priority	Given (Precondition / Mock Setup)	When (Input / Act)	Then (Expected Output / Assert)	Negative?	Status	Defect ID	Notes
UT-US02-01	Decision Coverage	login(): user tồn tại + password đúng + account active → thành công	US-02	P1	userRepository.findByUsername("admin") = User{isActive=true}; passwordEncoder.matches() = true; authManager.authenticate() không throw; jwtUtils.generateAccessToken() = "access.token.xyz"; refreshTokenRepository.save() = RefreshToken	authService.login(LoginRequest{username="admin", password="Admin@2025"})	Trả về TokenResponse với accessToken != null, refreshToken != null, tokenType="Bearer", roles không rỗng; refreshTokenRepository.deleteByUser() được gọi 1 lần	No	Pass		Happy path — login thành công
UT-US02-02	Decision Coverage	login(): username không tồn tại trong DB	US-02	P1	userRepository.findByUsername("unknown") = Optional.empty()	authService.login(LoginRequest{username="unknown", password="any"})	Ném BusinessException; HTTP 401 UNAUTHORIZED; message = "Invalid username or password"	Yes	Pass		Không để lộ username có tồn tại hay không
UT-US02-03	Decision Coverage	login(): username đúng nhưng password sai	US-02	P1	userRepository.findByUsername("admin") = User{isActive=true}; passwordEncoder.matches("wrong", hash) = false	authService.login(LoginRequest{username="admin", password="wrong"})	Ném BusinessException; HTTP 401 UNAUTHORIZED; authManager.authenticate() không được gọi	Yes	Pass		Password check trước khi gọi AuthenticationManager
UT-US02-04	Decision Coverage	login(): password đúng nhưng account bị khóa (isActive=false)	US-02	P1	userRepository.findByUsername("locked") = User{isActive=false}; passwordEncoder.matches() = true	authService.login(LoginRequest{username="locked", password="correct"})	Ném BusinessException; HTTP 403 FORBIDDEN; errorCode = ACCOUNT_DISABLED	Yes	Pass		Phân biệt 401 (sai credentials) vs 403 (bị khóa)
UT-US02-05	Decision Coverage	login(): authManager.authenticate() ném exception (edge case)	US-02	P2	userRepository.findByUsername() = User{isActive=true}; passwordEncoder.matches() = true; authManager.authenticate() ném RuntimeException	authService.login(validRequest)	Ném BusinessException; HTTP 401 UNAUTHORIZED	Yes	Pass		Bảo vệ khi Spring Security internal auth fail
UT-US02-06	Decision Coverage	refresh(): token hợp lệ, chưa hết hạn, user active	US-02	P1	refreshTokenRepository.findByToken("valid-token") = RefreshToken{expiryDate=future, user.isActive=true}; jwtUtils.generateAccessToken() = "new.access.token"	authService.refresh(TokenRefreshRequest{refreshToken="valid-token"})	Trả về TokenRefreshResponse với accessToken != null; expiresIn=900	No	Pass		Happy path — refresh access token. Verified integration: HTTP 200, accessToken != null, expiresIn=900
UT-US02-07	Decision Coverage	refresh(): token không tồn tại trong DB	US-02	P1	refreshTokenRepository.findByToken("fake-token") = Optional.empty()	authService.refresh(TokenRefreshRequest{refreshToken="fake-token"})	Ném BusinessException; HTTP 401; errorCode = TOKEN_INVALID	Yes	Pass		Token giả hoặc đã bị xóa
UT-US02-08	Decision Coverage	refresh(): token tồn tại nhưng đã hết hạn	US-02	P1	refreshTokenRepository.findByToken("expired-token") = RefreshToken{expiryDate=past}	authService.refresh(TokenRefreshRequest{refreshToken="expired-token"})	Ném BusinessException; HTTP 401; errorCode = TOKEN_EXPIRED; refreshTokenRepository.delete() được gọi 1 lần	Yes	Pass		Token hết hạn phải bị xóa khỏi DB
UT-US02-09	Condition Coverage	refresh(): token hợp lệ nhưng user bị khóa	US-02	P1	refreshTokenRepository.findByToken() = RefreshToken{expiryDate=future, user.isActive=false}	authService.refresh(TokenRefreshRequest{refreshToken="valid-token"})	Ném BusinessException; HTTP 403 FORBIDDEN; errorCode = ACCESS_DENIED	Yes	Pass		Tài khoản bị lock sau khi đã đăng nhập
UT-US02-10	Decision Coverage	logout(): token tồn tại → xóa thành công	US-02	P2	refreshTokenRepository.findByToken("token-123") = Optional.of(refreshToken)	authService.logout("token-123")	refreshTokenRepository.delete(refreshToken) được gọi 1 lần; không ném exception	No	Pass		Happy path — logout xóa token. Verified integration: HTTP 200 "Logged out successfully"; refresh lại cùng token → 401 TOKEN_INVALID
UT-US02-11	Decision Coverage	logout(): token không tồn tại → không làm gì (no-op)	US-02	P2	refreshTokenRepository.findByToken("ghost-token") = Optional.empty()	authService.logout("ghost-token")	refreshTokenRepository.delete() không được gọi; không ném exception	No	Pass		Idempotent — logout token không tồn tại không báo lỗi. Verified integration: HTTP 200 "Logged out successfully"
