NFR ID	Category	Requirement	Condition / Context	Target Value	Test Method	Tool	Measured Result	Test Status	Owner	Sprint
NFR-R01	Reliability & Transactional Integrity	Import retries and duplicate source events shall be idempotent and shall not create duplicate Canonical Orders.	Sprint 1	0 duplicate Canonical Orders for the same source event	Repeated-request and duplicate-file tests with UNIQUE constraint on order_code & batch_id	JUnit 5, DB Assertions, Integration Tests	Verified 0 duplicate orders created on duplicate Excel upload; DB constraint enforced; 100% Idempotent	Pass	Nguyễn Đức Minh	Sprint 1
NFR-R02	Reliability & Transactional Integrity	Recommendation failure shall not make an infeasible candidate selectable and shall not destroy the Trip Draft.	Sprint 1-3	Trip Draft preserved; 0 infeasible candidates selectable	Fault-injection and transaction rollback tests	JUnit 5, Mockito, Spring Transactional assertions	Verified Trip Draft state preserved after exception; Infeasible vehicle marked ineligible with score 0.0	Pass	Nguyễn Đức Minh	Sprint 1-3
NFR-R03	Reliability & Transactional Integrity	Confirmation shall be atomic and shall not create duplicate active Confirmations or partial vehicle locks.	Sprint 2	Exactly 1 active Confirmation; 0 partial resource locks	Concurrency, uniqueness, and pessimistic lock tests	JUnit 5, Spring Data JPA @Lock(PESSIMISTIC_WRITE)	Atomic transaction verified; Exactly 1 confirmed state allowed per trip; Vehicle locked atomically	Pass	Nguyễn Đức Minh	Sprint 2
NFR-R04	Reliability & Transactional Integrity	Relevant data or configuration changes shall mark dependent results stale before confirmation.	Sprint 1-3	100% dependent current results marked Stale before confirmation	State-transition and entity event listener tests	JUnit 5, Integration tests	Verified STALE status auto-applied when underlying order or vehicle specs are modified	Pass	Nguyễn Đức Minh	Sprint 1-3
NFR-R05	Reliability & Transactional Integrity	Planning, Driver App event, delivery-result, exception, and outcome histories shall preserve immutable prior versions after correction.	Sprint 1-3	0 direct overwrite of historical snapshots	Version and audit table immutability assertions	JUnit 5, DB Auditing, Spring Data Envers / AuditLog	Audit log inserts new snapshot records on edit; Prior historical rows retained 100% untouched	Pass	Nguyễn Đức Minh	Sprint 1-3
NFR-R06	Reliability & Transactional Integrity	Start Trip, terminal order updates, Complete Trip, and outcome submission shall be idempotent and concurrency-safe.	Sprint 3	One valid transition/outcome per event lineage	Repeated-request and concurrency tests	JUnit 5, StateMachine validation	Idempotency verified on duplicate Start Trip requests; Repeated status pushes return HTTP 200 with existing state	Pass	Nguyễn Đức Minh	Sprint 3
NFR-P01	Performance	Server-side vehicle feasibility filtering, scoring, ranking, and bounded two-vehicle fallback shall complete with p95 <= 1 second.	Sprint 2-3	p95 <= 1.0 second	Repeatable performance benchmark with percentile calculation after warm-up	k6 load runner + Haversine/Recommendation benchmark suite	Measured p95 response time = 184ms (0.184s) under 50 concurrent recommendation requests (Well within 1.0s limit)	Pass	Phạm Tiến Phát	Sprint 2-3
NFR-SEC01	Security & Access Control	Production network traffic shall use HTTPS with an approved TLS configuration.	Sprint 3	HTTPS only with approved TLS configuration	Security review & Spring Security SSL channel enforcement verification	Postman, Spring Security SecurityFilterChain, Log Inspection	Configured Spring Security requires HTTPS in prod profile; TLS 1.3/1.2 enforced	Pass	Nguyễn Đức Minh	Sprint 3
NFR-SEC02	Security & Access Control	Role-based access control shall enforce least privilege for import, planning, configuration, confirmation, driver assignment, etc.	Sprint 1-3	100% permission-matrix enforcement; unauthorized actions denied	Permission matrix and negative authorization tests (@PreAuthorize)	JUnit 5, Spring Security Test, Cypress Permission Guards	100% Permission matrix enforced; Driver attempt to access /admin or /planning returns HTTP 403 Forbidden	Pass	Nguyễn Đức Minh	Sprint 1-3
NFR-SEC03	Security & Access Control	Passwords, tokens, secrets, stack traces, and unauthorized personal data shall not appear in logs, exports, or explanations.	Sprint 1-3	0 exposed secrets or unauthorized personal data	Log inspection & DTO response sanitizer tests	Log inspection, Jackson @JsonIgnore, GlobalExceptionHandler	Passwords masked in DB/logs; Jwt tokens excluded from log prints; Exception handler returns clean message without stacktrace	Pass	Nguyễn Đức Minh	Sprint 1-3
NFR-SEC04	Security & Access Control	File uploads shall be validated for authorized type, configured size, structure, and unsafe content before processing.	Sprint 1	All unsupported or unsafe uploads rejected before row processing	Malicious/unsupported file type and 10MB size boundary tests	JUnit 5, ImportServiceImpl Content-Type validation	Non-.xlsx files (PDF/EXE) and files > 10MB rejected immediately at controller layer before processing	Pass	Nguyễn Đức Minh	Sprint 1
NFR-SEC05	Security & Access Control	Sensitive changes and decisions shall be audit logged with actor, time, action, object, and correlation or source identifier.	Sprint 1-3	100% required audit fields stored	Audit completeness review on AuditLog entity	JUnit 5, DB Assertions	Audit entries populated with user_id, action_timestamp, entity_name, entity_id, and action_type on all CUD operations	Pass	Nguyễn Đức Minh	Sprint 1-3
NFR-SEC06	Security & Access Control	A driver shall access only current trips assigned to that authenticated driver, and assignment withdrawal shall remove update permission.	Sprint 3	0 cross-driver access; withdrawn assignment cannot update	Driver isolation and revoked-assignment tests	JUnit 5, Spring Security Principal checks	Driver query filtered by authenticated driver_id; Attempt to access another driver trip returns HTTP 403 Forbidden	Pass	Nguyễn Đức Minh	Sprint 3
NFR-U01	Usability & Explainability	A Dispatcher shall be able to identify rank, resources, utilization, estimated cost, regional compatibility, warnings, and principal reasons.	Sprint 2	Required decision factors visible; reduced/no-plan result shows actual count and limiting reason	Task-based usability review & recommendation tooltip verification	UI Acceptance Checklist, Cypress Component Specs	Recommendation UI card displays score breakdown (weight, volume, fuel) and explicit limiting reason tooltip	Pass	Lê Thành Linh	Sprint 2
